"","id","submitdate","lastpage","startlanguage","seed","G01Q05","gender","G01Q07","G01Q10","Gleichunggendercase","Gleichung","C10O1[SQ001]","C10O1[SQ002]","C10O1[SQ003]","C10O1[SQ004]","C10O1[SQ010]","C10O1[SQ005]","C10O1[SQ006]","C10O1[SQ009]","C10O1[SQ007]","C10O1[SQ008]","C11O0prox[SQ001]","C11O0prox[SQ002]","C11O0prox[SQ003]","C11O0prox[SQ004]","C11O0prox[SQ010]","C11O0prox[SQ005]","C11O0prox[SQ006]","C11O0prox[SQ009]","C11O0prox[SQ007]","C11O0prox[SQ008]","C11O1prox[SQ001]","C11O1prox[SQ002]","C11O1prox[SQ003]","C11O1prox[SQ004]","C11O1prox[SQ010]","C11O1prox[SQ005]","C11O1prox[SQ006]","C11O1prox[SQ009]","C11O1prox[SQ007]","C11O1prox[SQ008]","C10O0prox[SQ001]","C10O0prox[SQ002]","C10O0prox[SQ003]","C10O0prox[SQ004]","C10O0prox[SQ010]","C10O0prox[SQ005]","C10O0prox[SQ006]","C10O0prox[SQ009]","C10O0prox[SQ007]","C10O0prox[SQ008]","Comment","G02Q09","interviewtime","groupTime101781","G01Q05Time","genderTime","G01Q07Time","G01Q10Time","GleichunggendercaseTime","groupTime101782","GleichungTime","C10O1Time","C11O0proxTime","C11O1proxTime","C10O0proxTime","groupTime103113","CommentTime","groupTime101783","G02Q09Time"
"11",17,1980-01-01,4,"de",527238173,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A3","A3","A3","A2","A1","A4","A3","A3","A2","A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",392.95,18.72,NA,NA,NA,NA,NA,303.67,NA,NA,NA,NA,NA,58.75,NA,11.81,NA
"12",18,1980-01-01,4,"de",1753159066,NA,NA,NA,NA,NA,1,"A2","A4","A1","A4","A5","A2","A1","A2","A1","A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",181.83,12.39,NA,NA,NA,NA,NA,155.79,NA,NA,NA,NA,NA,5.22,NA,8.43,NA
"13",19,1980-01-01,4,"de",1128905229,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1","A2","A5","A2","A1","A5","A4","A1","A5","A3","Bei den Aussagen über Frau N. stehen für „trifft nicht zu“ immer „vier Aussagen“, obwohl dann nur drei aufgezeigt werden.","A1",507.77,20.32,NA,NA,NA,NA,NA,338.19,NA,NA,NA,NA,NA,137.67,NA,11.59,NA
"14",20,1980-01-01,4,"de",689063855,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4","A4","A2","A4","A5","A2","A2","A4","A2","A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",165.54,12.48,NA,NA,NA,NA,NA,133.99,NA,NA,NA,NA,NA,11.24,NA,7.83,NA
"15",21,1980-01-01,4,"de",551636535,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4","A4","A2","A4","A5","A1","A2","A5","A4","A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",245.09,13.16,NA,NA,NA,NA,NA,214.91,NA,NA,NA,NA,NA,6.54,NA,10.48,NA
"16",22,1980-01-01,4,"de",1763039593,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A3","A3","A4","A1","A1","A4","A4","A5","A2","A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",123.92,8.73,NA,NA,NA,NA,NA,108.75,NA,NA,NA,NA,NA,3.09,NA,3.35,NA
"17",23,1980-01-01,4,"de",1354749753,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1","A2","A4","A4","A1","A5","A4","A2","A2","A5",NA,"A1",191.66,13.4,NA,NA,NA,NA,NA,166.16,NA,NA,NA,NA,NA,4.09,NA,8.01,NA
"18",24,1980-01-01,4,"de",799107123,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1","A2","A5","A2","A1","A5","A4","A1","A4","A5",NA,"A1",218.64,13.19,NA,NA,NA,NA,NA,185.93,NA,NA,NA,NA,NA,12.77,NA,6.75,NA
"19",25,1980-01-01,4,"de",1828918088,NA,NA,NA,NA,NA,1,"A5","A4","A2","A2","A5","A3","A2","A2","A3","A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",146.8,15,NA,NA,NA,NA,NA,112.57,NA,NA,NA,NA,NA,5.49,NA,13.74,NA
"20",26,1980-01-01,4,"de",2111740441,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A3","A1","A2","A2","A3","A4","A4","A3","A4","A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",323.8,16.12,NA,NA,NA,NA,NA,284.31,NA,NA,NA,NA,NA,4,NA,19.37,NA
"21",27,1980-01-01,4,"de",143115119,NA,NA,NA,NA,NA,1,"A5","A4","A2","A5","A5","A1","A2","A2","A5","A5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",143.56,8.74,NA,NA,NA,NA,NA,128.5,NA,NA,NA,NA,NA,3.3,NA,3.02,NA
"22",28,1980-01-01,4,"de",293716657,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","A3","A4","A4","A5","A5","A3","A2","A4","A4",NA,"A1",208.67,20.48,NA,NA,NA,NA,NA,176.77,NA,NA,NA,NA,NA,3.99,NA,7.43,NA
"23",29,1980-01-01,4,"de",2047285603,NA,NA,NA,NA,NA,1,"A4","A4","A2","A4","A4","A2","A2","A2","A4","A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",177.21,10.22,NA,NA,NA,NA,NA,144.29,NA,NA,NA,NA,NA,7.19,NA,15.51,NA
"24",30,1980-01-01,4,"de",1032061732,NA,NA,NA,NA,NA,1,"A3","A4","A1","A4","A5","A1","A2","A3","A3","A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",141.16,9.77,NA,NA,NA,NA,NA,51.09,NA,NA,NA,NA,NA,75.59,NA,4.71,NA
"25",31,1980-01-01,4,"de",519124192,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A5","A3","A1","A5","A5","A1","A3","A5","A2","A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"oben bei der Instruktion bei frage 1 stand, dass Frau N. 4 Aussagen beantwortet hat. Es waren aber immer nur 3 aufgeführt","A1",212.83,18.92,NA,NA,NA,NA,NA,145.03,NA,NA,NA,NA,NA,42.4,NA,6.48,NA
"26",32,1980-01-01,4,"de",519819715,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","A2","A4","A1","A1","A4","A4","A5","A2","A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",181.26,13.64,NA,NA,NA,NA,NA,139.96,NA,NA,NA,NA,NA,8.75,NA,18.91,NA
"27",33,1980-01-01,4,"de",1625542973,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A3","A3","A4","A4","A1","A2","A4","A4","A4","A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",92.84,15.92,NA,NA,NA,NA,NA,66.71,NA,NA,NA,NA,NA,4.77,NA,5.44,NA
"28",34,1980-01-01,4,"de",1706878505,NA,NA,NA,NA,NA,1,"A4","A4","A2","A4","A5","A1","A2","A3","A2","A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",207.41,12.78,NA,NA,NA,NA,NA,184.16,NA,NA,NA,NA,NA,3.97,NA,6.5,NA
"29",36,1980-01-01,4,"de",194392864,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4","A2","A4","A2","A1","A4","A5","A5","A5","A5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",66.45,7.92,NA,NA,NA,NA,NA,52.08,NA,NA,NA,NA,NA,2.53,NA,3.92,NA
"30",37,1980-01-01,4,"de",1677579319,NA,NA,NA,NA,NA,1,"A4","A4","A1","A5","A5","A1","A2","A2","A2","A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",150.58,52.58,NA,NA,NA,NA,NA,87.68,NA,NA,NA,NA,NA,5.6,NA,4.72,NA
"31",39,1980-01-01,4,"de",244499527,NA,NA,NA,NA,NA,1,"A5","A4","A2","A1","A5","A4","A2","A2","A3","A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",157.84,11.41,NA,NA,NA,NA,NA,135.62,NA,NA,NA,NA,NA,4.36,NA,6.45,NA
"32",41,1980-01-01,4,"de",263005955,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4","A3","A1","A3","A5","A4","A3","A5","A3","A5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sollte es nicht bei einem der zwei Blöcke ""trifft nicht zu"" heißen? Zudem sind nur drei Punkte je Block gelistet, obwohl von vier die Rede ist.","A1",844.38,234.03,NA,NA,NA,NA,NA,432.65,NA,NA,NA,NA,NA,171.95,NA,5.75,NA
"33",42,1980-01-01,4,"de",508388245,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1","A3","A4","A2","A1","A4","A2","A2","A3","A4",NA,"A1",243.37,13.59,NA,NA,NA,NA,NA,206.2,NA,NA,NA,NA,NA,12.08,NA,11.5,NA
"34",44,1980-01-01,4,"de",1611394643,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4","A4","A3","A5","A5","A1","A1","A5","A2","A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",169.41,26.23,NA,NA,NA,NA,NA,129.27,NA,NA,NA,NA,NA,4.78,NA,9.13,NA
"35",45,1980-01-01,4,"de",1714948706,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","A3","A4","A2","A5","A2","A4","A4","A2","A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",199.29,13.71,NA,NA,NA,NA,NA,171.95,NA,NA,NA,NA,NA,7.37,NA,6.26,NA
"36",46,1980-01-01,4,"de",1737537221,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","A1","A4","A1","A2","A4","A5","A5","A3","A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",209.46,9.02,NA,NA,NA,NA,NA,188.99,NA,NA,NA,NA,NA,5.62,NA,5.83,NA
"37",47,1980-01-01,4,"de",824116375,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A5","A3","A1","A4","A5","A2","A2","A5","A2","A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",185.33,14.13,NA,NA,NA,NA,NA,158.41,NA,NA,NA,NA,NA,4.43,NA,8.36,NA
"38",48,1980-01-01,4,"de",466073218,NA,NA,NA,NA,NA,1,"A4","A4","A1","A4","A5","A1","A2","A1","A4","A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",119.91,14.85,NA,NA,NA,NA,NA,95.74,NA,NA,NA,NA,NA,3.41,NA,5.91,NA
"39",49,1980-01-01,4,"de",32135939,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4","A3","A2","A3","A5","A2","A3","A5","A2","A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",127,8.58,NA,NA,NA,NA,NA,107.22,NA,NA,NA,NA,NA,3.6,NA,7.6,NA
"40",50,1980-01-01,4,"de",674526290,NA,NA,NA,NA,NA,1,"A4","A4","A1","A4","A5","A1","A1","A2","A2","A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1",106.56,11.39,NA,NA,NA,NA,NA,83.59,NA,NA,NA,NA,NA,4.03,NA,7.55,NA
"41",51,1980-01-01,4,"de",382393268,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A3","A2","A5","A3","A1","A5","A3","A1","A4","A3",NA,"A1",140.17,15,NA,NA,NA,NA,NA,111.7,NA,NA,NA,NA,NA,7.41,NA,6.06,NA
"42",52,1980-01-01,4,"de",1804226974,NA,NA,NA,NA,NA,1,"A4","A3","A1","A5","A5","A1","A3","A1","A3","A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Negierte Fragen sind verwirrender und könnten die intuitiven ersten Einschätzungen durch das innehalten und über die Frage reflektieren verfälschen.","A1",280.76,10.58,NA,NA,NA,NA,NA,122.31,NA,NA,NA,NA,NA,130.91,NA,16.96,NA
